timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-18T15:56:46.444758,61,62,157,156,59,59,0
2026-08-18T15:56:46.444758,63,60,156,155,60,59,0
2026-08-18T15:56:46.448769,62,60,156,156,60,59,0
2026-08-18T15:56:46.448769,62,60,156,156,60,59,0
2026-08-18T15:56:46.449631,61,60,156,156,61,60,0
2026-08-18T15:56:46.453253,62,62,156,156,59,60,0
2026-08-18T15:56:46.453253,61,62,157,156,60,58,0
2026-08-18T15:56:46.453253,63,61,156,157,61,60,0
2026-08-18T15:56:46.457268,62,62,157,157,60,60,0
2026-08-18T15:56:46.457268,62,61,157,157,60,60,0
2026-08-18T15:56:46.457268,62,61,157,157,60,59,0
2026-08-18T15:56:46.461355,63,61,157,156,60,60,0
2026-08-18T15:56:46.461355,62,61,157,157,60,60,0
2026-08-18T15:56:46.461355,63,60,156,155,61,60,0
2026-08-18T15:56:46.465371,62,60,157,156,60,60,0
2026-08-18T15:56:46.465371,62,60,157,157,60,59,0
2026-08-18T15:56:46.465371,60,60,156,156,59,60,0
2026-08-18T15:56:46.469692,62,62,156,156,60,59,0
2026-08-18T15:56:46.469692,62,60,157,156,60,60,0
2026-08-18T15:56:46.469692,62,61,156,156,60,60,0
2026-08-18T15:56:46.473712,62,63,156,156,60,61,0
2026-08-18T15:56:46.473712,62,60,157,155,60,60,0
2026-08-18T15:56:46.473712,62,60,157,157,61,60,0
2026-08-18T15:56:46.477692,63,61,156,156,60,59,0
2026-08-18T15:56:46.477692,62,60,156,155,61,60,0
2026-08-18T15:56:46.477692,62,62,156,157,60,58,0
2026-08-18T15:56:46.481692,63,61,156,156,60,58,0
2026-08-18T15:56:46.481692,62,60,156,157,59,60,0
2026-08-18T15:56:46.481692,63,61,157,157,61,61,0
2026-08-18T15:56:46.485764,62,60,157,156,60,60,0
2026-08-18T15:56:46.485764,62,61,156,157,60,60,0
2026-08-18T15:56:46.486769,64,62,156,157,60,60,0
2026-08-18T15:56:46.489784,62,63,156,156,60,59,0
2026-08-18T15:56:46.489784,62,62,155,157,60,60,0
2026-08-18T15:56:46.489784,63,60,156,157,60,59,0
2026-08-18T15:56:46.493785,63,60,156,156,60,60,0
2026-08-18T15:56:46.493785,62,60,156,155,60,61,0
2026-08-18T15:56:46.493785,62,62,157,156,61,59,0
2026-08-18T15:56:46.497795,62,62,157,156,60,60,0
2026-08-18T15:56:46.497795,62,61,155,157,60,59,0
2026-08-18T15:56:46.498796,63,61,157,156,61,59,0
2026-08-18T15:56:46.502243,63,62,157,156,61,60,0
2026-08-18T15:56:46.502243,63,61,157,155,61,60,0
2026-08-18T15:56:46.502243,63,61,157,156,61,59,0
2026-08-18T15:56:46.506242,62,60,156,157,61,60,0
2026-08-18T15:56:46.506242,63,60,156,156,59,59,0
2026-08-18T15:56:46.506242,64,61,156,156,60,59,0
2026-08-18T15:56:46.509766,64,62,157,157,60,60,0
2026-08-18T15:56:46.510782,62,60,157,156,61,60,0
2026-08-18T15:56:46.510782,64,63,156,156,61,59,0
2026-08-18T15:56:46.513785,62,61,157,157,60,58,0
2026-08-18T15:56:46.514783,63,60,157,156,61,60,0
2026-08-18T15:56:46.514783,62,62,156,156,60,60,0
2026-08-18T15:56:46.517930,62,62,155,157,60,59,0
2026-08-18T15:56:46.518926,62,60,157,157,60,60,0
2026-08-18T15:56:46.518926,64,61,157,156,59,60,0
2026-08-18T15:56:46.522929,62,62,157,156,60,59,0
2026-08-18T15:56:46.522929,63,62,156,157,59,60,0
2026-08-18T15:56:46.522929,62,62,156,156,61,59,0
2026-08-18T15:56:46.526967,62,62,156,156,60,59,0
2026-08-18T15:56:46.526967,62,61,157,157,60,60,0
2026-08-18T15:56:46.527926,62,62,157,156,60,60,0
2026-08-18T15:56:46.530940,61,60,156,156,61,58,0
2026-08-18T15:56:46.530940,62,62,155,157,61,59,0
2026-08-18T15:56:46.530940,62,61,156,156,60,60,0
2026-08-18T15:56:46.534415,62,61,156,157,60,60,0
2026-08-18T15:56:46.534415,63,60,156,157,60,59,0
2026-08-18T15:56:46.534415,62,61,157,156,61,60,0
2026-08-18T15:56:46.538350,62,61,156,156,60,60,0
2026-08-18T15:56:46.539363,64,60,157,156,60,60,0
2026-08-18T15:56:46.539363,63,62,156,156,61,60,0
2026-08-18T15:56:46.542558,62,61,157,157,60,60,0
2026-08-18T15:56:46.542558,62,61,156,157,60,58,0
2026-08-18T15:56:46.542558,63,61,157,157,60,61,0
2026-08-18T15:56:46.547160,62,61,157,155,61,60,0
2026-08-18T15:56:46.547160,62,60,156,156,61,59,0
2026-08-18T15:56:46.548145,64,61,157,155,61,60,0
2026-08-18T15:56:46.551372,62,61,155,157,60,59,0
2026-08-18T15:56:46.551372,62,61,156,157,60,58,0
2026-08-18T15:56:46.551372,63,62,157,156,60,60,0
2026-08-18T15:56:46.555395,62,59,157,156,60,60,0
2026-08-18T15:56:46.556383,63,60,156,157,60,59,0
